"","X.Cuvash.","X.Karachai.","X.Kazakh.","X.Khakass.","X.Kirghiz.","X.SouthAltaic.","X.Tatar.","X.Turkish.","X.Turkmen.","X.Tuvan.","X.Uzbek.","X.Yakut."
"432","0","1","1","0","1","0","1","1","1","0","1","1"
"433","1","1","1","1","1","1","1","1","1","0","1","1"
"434","1","1","1","1","1","0","1","1","1","1","1","1"
"435","0","0","1","0","0","0","0","0","1","0","1","0"
"436","1","1","1","1","1","1","1","1","1","0","1","1"
"437","1","1","1","1","1","1","0","1","1","1","1","1"
"438","0","1","1","1","1","1","1","1","1","1","1","1"
"439","1","1","1","0","1","0","1","1","0","0","1","0"
"440","0","0","1","0","1","1","0","0","1","0","1","1"
"441","1","1","1","1","1","1","1","1","1","1","1","1"
"442","1","1","1","1","1","1","1","1","1","1","1","1"
"443","0","1","1","1","1","0","1","1","1","0","1","0"
"444","0","1","1","1","1","1","1","1","1","1","1","1"
"445","1","1","1","1","1","1","1","1","1","1","1","1"
"446","1","1","1","1","1","1","1","1","1","1","1","1"
"447","1","1","1","1","1","1","1","1","0","0","1","0"
"448","1","1","1","1","1","1","1","1","1","1","1","1"
"449","1","1","1","1","1","1","1","1","1","1","1","0"
"450","1","1","1","1","1","1","1","1","1","1","1","0"
"451","1","1","1","0","0","0","1","1","1","0","0","0"
"452","0","0","1","0","0","0","1","0","0","0","1","0"
"453","0","1","1","0","0","1","1","0","0","0","1","0"
"454","0","1","1","1","1","1","1","1","0","1","1","0"
"455","0","0","0","0","0","0","0","1","1","0","0","0"
"456","1","1","1","1","1","1","1","1","1","1","1","1"
"457","0","1","1","1","1","1","1","1","1","1","1","0"
"458","0","1","0","0","0","0","0","1","0","0","0","0"
"459","0","1","1","1","1","1","1","1","0","1","1","1"
"460","0","1","0","0","0","0","0","1","1","0","1","0"
"461","1","0","1","0","1","0","0","1","1","0","1","0"
"462","0","1","0","0","0","0","0","1","0","0","0","0"
"463","0","0","0","0","0","0","0","1","1","0","0","0"
"464","0","1","0","0","0","0","0","1","0","1","0","0"
"465","1","1","1","0","1","0","1","0","1","0","1","0"
"466","1","1","1","1","1","0","1","1","1","1","1","1"
"467","1","1","1","1","1","1","1","1","1","0","1","0"
"468","0","0","0","0","0","0","0","1","0","0","0","0"
"469","1","1","1","1","1","1","1","1","1","1","1","1"
"470","1","1","1","1","1","1","1","1","1","0","1","0"
"471","1","1","1","1","1","1","0","1","1","1","1","0"
"472","1","1","1","0","1","1","1","1","1","1","1","1"
"473","1","1","1","1","0","1","0","1","1","0","1","0"
"474","1","1","1","1","1","0","1","1","1","1","1","1"
"475","1","0","1","1","1","1","1","1","0","1","1","1"
"476","0","1","1","1","1","1","1","1","1","1","1","1"
